Code,Area,Year,Affordable Housing Supply
E09000001,City of London,1991-92,0
E09000002,Barking and Dagenham,1991-92,53
E09000003,Barnet,1991-92,73
E09000004,Bexley,1991-92,129
E09000005,Brent,1991-92,423
E09000006,Bromley,1991-92,156
E09000007,Camden,1991-92,227
E09000008,Croydon,1991-92,476
E09000009,Ealing,1991-92,170
E09000010,Enfield,1991-92,171
E09000011,Greenwich,1991-92,69
E09000012,Hackney,1991-92,383
E09000013,Hammersmith and Fulham,1991-92,158
E09000014,Haringey,1991-92,295
E09000015,Harrow,1991-92,62
E09000016,Havering,1991-92,5
E09000017,Hillingdon,1991-92,68
E09000018,Hounslow,1991-92,81
E09000019,Islington,1991-92,209
E09000020,Kensington and Chelsea,1991-92,163
E09000021,Kingston upon Thames,1991-92,33
E09000022,Lambeth,1991-92,461
E09000023,Lewisham,1991-92,260
E09000024,Merton,1991-92,110
E09000025,Newham,1991-92,313
E09000026,Redbridge,1991-92,23
E09000027,Richmond upon Thames,1991-92,155
E09000028,Southwark,1991-92,351
E09000029,Sutton,1991-92,31
E09000030,Tower Hamlets,1991-92,224
E09000031,Waltham Forest,1991-92,286
E09000032,Wandsworth,1991-92,183
E09000033,Westminster,1991-92,125
E12000001,North East,1991-92,"1,260"
E12000002,North West,1991-92,"3,603"
E12000003,Yorkshire and The Humber,1991-92,"2,710"
E12000004,East Midlands,1991-92,"1,729"
E12000005,West Midlands,1991-92,"3,277"
E12000006,East of England,1991-92,"2,726"
E12000007,London,1991-92,"5,926"
E12000008,South East,1991-92,"5,167"
E12000009,South West,1991-92,"3,276"
E92000001,England,1991-92,"29,674"
E09000001,City of London,1992-93,0
E09000002,Barking and Dagenham,1992-93,90
E09000003,Barnet,1992-93,405
E09000004,Bexley,1992-93,159
E09000005,Brent,1992-93,776
E09000006,Bromley,1992-93,415
E09000007,Camden,1992-93,454
E09000008,Croydon,1992-93,623
E09000009,Ealing,1992-93,661
E09000010,Enfield,1992-93,362
E09000011,Greenwich,1992-93,685
E09000012,Hackney,1992-93,866
E09000013,Hammersmith and Fulham,1992-93,470
E09000014,Haringey,1992-93,672
E09000015,Harrow,1992-93,183
E09000016,Havering,1992-93,148
E09000017,Hillingdon,1992-93,350
E09000018,Hounslow,1992-93,497
E09000019,Islington,1992-93,390
E09000020,Kensington and Chelsea,1992-93,423
E09000021,Kingston upon Thames,1992-93,97
E09000022,Lambeth,1992-93,945
E09000023,Lewisham,1992-93,575
E09000024,Merton,1992-93,245
E09000025,Newham,1992-93,711
E09000026,Redbridge,1992-93,320
E09000027,Richmond upon Thames,1992-93,102
E09000028,Southwark,1992-93,"1,042"
E09000029,Sutton,1992-93,144
E09000030,Tower Hamlets,1992-93,509
E09000031,Waltham Forest,1992-93,618
E09000032,Wandsworth,1992-93,537
E09000033,Westminster,1992-93,485
E12000001,North East,1992-93,"2,333"
E12000002,North West,1992-93,"9,461"
E12000003,Yorkshire and The Humber,1992-93,"4,849"
E12000004,East Midlands,1992-93,"4,346"
E12000005,West Midlands,1992-93,"7,448"
E12000006,East of England,1992-93,"6,499"
E12000007,London,1992-93,"14,959"
E12000008,South East,1992-93,"10,333"
E12000009,South West,1992-93,"5,493"
E92000001,England,1992-93,"65,721"
E09000001,City of London,1993-94,0
E09000002,Barking and Dagenham,1993-94,128
E09000003,Barnet,1993-94,471
E09000004,Bexley,1993-94,372
E09000005,Brent,1993-94,690
E09000006,Bromley,1993-94,959
E09000007,Camden,1993-94,652
E09000008,Croydon,1993-94,577
E09000009,Ealing,1993-94,569
E09000010,Enfield,1993-94,306
E09000011,Greenwich,1993-94,314
E09000012,Hackney,1993-94,964
E09000013,Hammersmith and Fulham,1993-94,457
E09000014,Haringey,1993-94,629
E09000015,Harrow,1993-94,190
E09000016,Havering,1993-94,117
E09000017,Hillingdon,1993-94,163
E09000018,Hounslow,1993-94,276
E09000019,Islington,1993-94,462
E09000020,Kensington and Chelsea,1993-94,395
E09000021,Kingston upon Thames,1993-94,120
E09000022,Lambeth,1993-94,693
E09000023,Lewisham,1993-94,537
E09000024,Merton,1993-94,320
E09000025,Newham,1993-94,762
E09000026,Redbridge,1993-94,174
E09000027,Richmond upon Thames,1993-94,140
E09000028,Southwark,1993-94,784
E09000029,Sutton,1993-94,132
E09000030,Tower Hamlets,1993-94,410
E09000031,Waltham Forest,1993-94,305
E09000032,Wandsworth,1993-94,416
E09000033,Westminster,1993-94,662
E12000001,North East,1993-94,"2,774"
E12000002,North West,1993-94,"8,750"
E12000003,Yorkshire and The Humber,1993-94,"4,821"
E12000004,East Midlands,1993-94,"4,080"
E12000005,West Midlands,1993-94,"6,748"
E12000006,East of England,1993-94,"6,359"
E12000007,London,1993-94,"14,222"
E12000008,South East,1993-94,"9,902"
E12000009,South West,1993-94,"6,080"
E92000001,England,1993-94,"63,736"
E09000001,City of London,1994-95,0
E09000002,Barking and Dagenham,1994-95,197
E09000003,Barnet,1994-95,428
E09000004,Bexley,1994-95,135
E09000005,Brent,1994-95,584
E09000006,Bromley,1994-95,477
E09000007,Camden,1994-95,693
E09000008,Croydon,1994-95,"1,109"
E09000009,Ealing,1994-95,408
E09000010,Enfield,1994-95,398
E09000011,Greenwich,1994-95,332
E09000012,Hackney,1994-95,"1,070"
E09000013,Hammersmith and Fulham,1994-95,440
E09000014,Haringey,1994-95,677
E09000015,Harrow,1994-95,207
E09000016,Havering,1994-95,154
E09000017,Hillingdon,1994-95,468
E09000018,Hounslow,1994-95,432
E09000019,Islington,1994-95,586
E09000020,Kensington and Chelsea,1994-95,301
E09000021,Kingston upon Thames,1994-95,75
E09000022,Lambeth,1994-95,694
E09000023,Lewisham,1994-95,620
E09000024,Merton,1994-95,274
E09000025,Newham,1994-95,550
E09000026,Redbridge,1994-95,229
E09000027,Richmond upon Thames,1994-95,281
E09000028,Southwark,1994-95,"1,099"
E09000029,Sutton,1994-95,139
E09000030,Tower Hamlets,1994-95,646
E09000031,Waltham Forest,1994-95,507
E09000032,Wandsworth,1994-95,511
E09000033,Westminster,1994-95,730
E12000001,North East,1994-95,"2,726"
E12000002,North West,1994-95,"8,331"
E12000003,Yorkshire and The Humber,1994-95,"6,069"
E12000004,East Midlands,1994-95,"5,228"
E12000005,West Midlands,1994-95,"7,810"
E12000006,East of England,1994-95,"6,085"
E12000007,London,1994-95,"16,046"
E12000008,South East,1994-95,"10,758"
E12000009,South West,1994-95,"7,337"
E92000001,England,1994-95,"70,390"
E09000001,City of London,1995-96,43
E09000002,Barking and Dagenham,1995-96,115
E09000003,Barnet,1995-96,432
E09000004,Bexley,1995-96,122
E09000005,Brent,1995-96,754
E09000006,Bromley,1995-96,392
E09000007,Camden,1995-96,623
E09000008,Croydon,1995-96,654
E09000009,Ealing,1995-96,819
E09000010,Enfield,1995-96,329
E09000011,Greenwich,1995-96,505
E09000012,Hackney,1995-96,"1,254"
E09000013,Hammersmith and Fulham,1995-96,755
E09000014,Haringey,1995-96,798
E09000015,Harrow,1995-96,136
E09000016,Havering,1995-96,72
E09000017,Hillingdon,1995-96,442
E09000018,Hounslow,1995-96,477
E09000019,Islington,1995-96,555
E09000020,Kensington and Chelsea,1995-96,726
E09000021,Kingston upon Thames,1995-96,143
E09000022,Lambeth,1995-96,900
E09000023,Lewisham,1995-96,823
E09000024,Merton,1995-96,283
E09000025,Newham,1995-96,916
E09000026,Redbridge,1995-96,178
E09000027,Richmond upon Thames,1995-96,246
E09000028,Southwark,1995-96,"1,007"
E09000029,Sutton,1995-96,321
E09000030,Tower Hamlets,1995-96,658
E09000031,Waltham Forest,1995-96,325
E09000032,Wandsworth,1995-96,578
E09000033,Westminster,1995-96,767
E12000001,North East,1995-96,"2,523"
E12000002,North West,1995-96,"8,538"
E12000003,Yorkshire and The Humber,1995-96,"5,323"
E12000004,East Midlands,1995-96,"4,999"
E12000005,West Midlands,1995-96,"6,965"
E12000006,East of England,1995-96,"7,782"
E12000007,London,1995-96,"17,148"
E12000008,South East,1995-96,"13,008"
E12000009,South West,1995-96,"8,244"
E92000001,England,1995-96,"74,530"
E09000001,City of London,1996-97,3
E09000002,Barking and Dagenham,1996-97,404
E09000003,Barnet,1996-97,228
E09000004,Bexley,1996-97,172
E09000005,Brent,1996-97,426
E09000006,Bromley,1996-97,474
E09000007,Camden,1996-97,573
E09000008,Croydon,1996-97,673
E09000009,Ealing,1996-97,264
E09000010,Enfield,1996-97,345
E09000011,Greenwich,1996-97,310
E09000012,Hackney,1996-97,786
